"Unemployment in per cent of the labour force (provisional) by sex, age, region and time",,,,,,,,,,,,,,,,
Units: Per cent,,,,,,,,,,,,,,,,
,,,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,,
,,Kolding,4,4,4.2,4.8,4.9,4.7,4.2,4.1,3.9,3.8,3.7,3.8,,4.18
,,Sønderborg,3.7,3.7,3.9,4.7,5,4.8,4.3,4.3,4.1,4,3.8,3.8,,4.18
,,Tønder,4,4,4.1,4.8,5.1,4.9,4.4,4.4,4.4,4.2,4.1,4.1,,4.38
,,Varde,4.2,4,4.1,4.7,4.8,4.4,3.6,3.4,3.4,3.3,3.6,3.9,,3.95
,,Vejen,3.2,3.1,3.3,3.8,3.9,3.6,3.1,3,3,3,3.1,3.3,,3.28
,,Vejle,3,2.9,3,3.5,4,3.8,3.2,3.1,3.2,2.9,2.9,3,,3.21
,,Aabenraa,3.4,3.3,3.6,4.2,4.6,4.4,4.1,4.1,3.9,3.9,3.7,3.9,,3.93
,,Region Midtjylland,3.7,3.7,3.8,4.5,4.8,4.5,3.9,3.8,3.8,3.7,3.5,3.6,,3.94
,,Province Østjylland,3.7,3.7,3.9,4.6,4.7,4.7,4.5,4.4,4.2,4,3.9,4,,4.19
,,Favrskov,3.8,3.9,4.1,4.8,5,5,5,4.8,4.5,4.4,4.2,4.2,,4.48
,,Hedensted,2.7,2.7,3,3.6,3.8,3.7,3.2,3.2,3.2,3,3,3.1,,3.18
,,Horsens,2.8,2.8,3.1,3.6,3.8,3.6,3,3.1,3,2.8,2.9,3,,3.13
,,Norddjurs,3.7,3.8,4.1,4.8,5.1,4.8,4.4,4.3,4.1,4,3.9,3.9,,4.24
,,Odder,4.3,4.2,4.4,5,5.1,4.7,4.2,4,4.1,4.1,4.1,4.2,,4.37
,,Randers,3.2,3.1,3.2,3.9,4.2,4.2,3.5,3.6,3.6,3.5,3.5,3.6,,3.59
,,Samsø,4.1,4,4.3,5,5.3,5.2,4.8,4.7,4.4,4.3,4.2,4.4,,4.56
,,Silkeborg,5.2,6.1,6,5.7,4.9,4.2,3,2.9,3.4,3.9,5.1,5.6,,4.67
,,Skanderborg,3.3,3.3,3.6,4.1,4.3,4.1,3.9,4,3.8,3.7,3.5,3.6,,3.77
,,Syddjurs,2.5,2.5,2.6,3.2,3.5,3.3,3,3.2,3.2,3.1,2.9,3,,3.00
,,Aarhus,3.4,3.3,3.6,4.3,4.6,4.4,3.9,3.9,3.9,3.7,3.7,4,,3.89
,,Province Vestjylland,4.5,4.6,4.8,5.5,5.8,6,6.6,6.2,5.6,5.4,5.1,5.1,,5.43
,,Herning,3.3,3.2,3.4,4.1,4.1,3.9,3.5,3.5,3.4,3.3,3.3,3.4,,3.53
,,Holstebro,3.5,3.5,3.6,4.2,4.4,4.3,4,4,3.8,3.8,3.6,3.7,,3.87
,,Ikast-Brande,3,3,3.1,3.9,4,3.9,3.4,3.2,3.1,2.9,2.8,2.9,,3.27
,,Lemvig,3.6,3.6,3.7,4.5,4.4,4.2,3.6,3.9,3.9,4,3.8,4,,3.93
,,Ringkøbing-Skjern,3.2,3.3,3.5,4,3.9,3.6,2.7,2.7,2.7,2.7,2.9,3.2,,3.20
,,Skive,3.1,3.1,3.1,3.6,3.6,3.4,3,2.9,2.9,2.8,2.9,2.9,,3.11
,,Struer,2.7,2.7,2.9,3.5,3.6,3.4,3.1,3,2.8,2.6,2.6,2.8,,2.98
,,Viborg,4,3.7,4.1,5,5.2,4.9,3.9,3.7,3.9,4,3.9,4.1,,4.20
,,Region Nordjylland,3.4,3.3,3.5,4.2,4.3,4,3.6,3.7,3.6,3.6,3.5,3.6,,3.69
