country_region_code,variable,value,wave
Romania,Retail and recreation,-0.43209220073322024,Third wave
Romania,Transit stations,-7.850466892880858,Third wave
Romania,Workplaces,-14.8947563912229,Third wave
Sweden,Grocery and pharmacy,5.609412496167774,Third wave
Sweden,Parks,53.73679582774535,Third wave
Sweden,Residential,3.6349449567189733,Third wave
Sweden,Retail and recreation,8.311809267068872,Third wave
Sweden,Transit stations,-21.505104343486884,Third wave
Sweden,Workplaces,-20.333186282618353,Third wave
Slovenia,Grocery and pharmacy,2.164709906321748,Third wave
Slovenia,Parks,18.354041353383458,Third wave
Slovenia,Residential,0.9429532614099939,Third wave
Slovenia,Retail and recreation,-1.6483215576642232,Third wave
Slovenia,Transit stations,-9.0370416493619,Third wave
Slovenia,Workplaces,-16.227747819081774,Third wave
Slovakia,Grocery and pharmacy,23.267750929653563,Third wave
Slovakia,Parks,35.99977392318724,Third wave
Slovakia,Residential,2.195056661495053,Third wave
Slovakia,Retail and recreation,9.006901646618852,Third wave
Slovakia,Transit stations,0.7237542016659434,Third wave
Slovakia,Workplaces,-15.26258519520511,Third wave
