Sex, Macroregions  development regions and counties, Months, MU: Percentage, Valoare
Total, MACROREGION 2, August 2020, Percentage, 4.4
Total, MACROREGION 2, September 2020, Percentage, 4.4
Total, MACROREGION 2, October 2020, Percentage, 4.4
Total, MACROREGION 2, November 2020, Percentage, 4.5
Total, MACROREGION 2, December 2020, Percentage, 4.7
Total, NORTH - EAST, January 2019, Percentage, 4.9
Total, NORTH - EAST, February 2019, Percentage, 4.8
Total, NORTH - EAST, March 2019, Percentage, 4.6
Total, NORTH - EAST, April 2019, Percentage, 4.4
Total, NORTH - EAST, May 2019, Percentage, 4.2
Total, NORTH - EAST, June 2019, Percentage, 4.3
Total, NORTH - EAST, July 2019, Percentage, 4.4
Total, NORTH - EAST, August 2019, Percentage, 4.4
Total, NORTH - EAST, September 2019, Percentage, 4.4
Total, NORTH - EAST, October 2019, Percentage, 4.3
Total, NORTH - EAST, November 2019, Percentage, 4.3
Total, NORTH - EAST, December 2019, Percentage, 4.3
Total, NORTH - EAST, January 2020, Percentage, 4.3
Total, NORTH - EAST, February 2020, Percentage, 4.3
Total, NORTH - EAST, March 2020, Percentage, 4.1
Total, NORTH - EAST, April 2020, Percentage, 4
Total, NORTH - EAST, May 2020, Percentage, 3.8
Total, NORTH - EAST, June 2020, Percentage, 3.9
Total, NORTH - EAST, July 2020, Percentage, 4.3
Total, NORTH - EAST, August 2020, Percentage, 4.4
Total, NORTH - EAST, September 2020, Percentage, 4.4
Total, NORTH - EAST, October 2020, Percentage, 4.4
Total, NORTH - EAST, November 2020, Percentage, 4.4
Total, NORTH - EAST, December 2020, Percentage, 4.7
Total, Bacau, January 2019, Percentage, 5.9
Total, Bacau, February 2019, Percentage, 5.9
Total, Bacau, March 2019, Percentage, 5.7
Total, Bacau, April 2019, Percentage, 5.4
Total, Bacau, May 2019, Percentage, 5.1
Total, Bacau, June 2019, Percentage, 5.1
Total, Bacau, July 2019, Percentage, 5.2
Total, Bacau, August 2019, Percentage, 5.1
Total, Bacau, September 2019, Percentage, 5.2
Total, Bacau, October 2019, Percentage, 5.1
Total, Bacau, November 2019, Percentage, 5.1
Total, Bacau, December 2019, Percentage, 5.2
Total, Bacau, January 2020, Percentage, 5.2
Total, Bacau, February 2020, Percentage, 5.3
Total, Bacau, March 2020, Percentage, 5.2
Total, Bacau, April 2020, Percentage, 5.1
Total, Bacau, May 2020, Percentage, 4.7
Total, Bacau, June 2020, Percentage, 4.9
Total, Bacau, July 2020, Percentage, 5.1
Total, Bacau, August 2020, Percentage, 5.1
Total, Bacau, September 2020, Percentage, 5.1
Total, Bacau, October 2020, Percentage, 5.2
Total, Bacau, November 2020, Percentage, 5.2
Total, Bacau, December 2020, Percentage, 5.4
Total, Botosani, January 2019, Percentage, 3.2
Total, Botosani, February 2019, Percentage, 3.2
Total, Botosani, March 2019, Percentage, 3.1
Total, Botosani, April 2019, Percentage, 2.8
Total, Botosani, May 2019, Percentage, 2.7
Total, Botosani, June 2019, Percentage, 2.6
Total, Botosani, July 2019, Percentage, 2.9
Total, Botosani, August 2019, Percentage, 2.8
Total, Botosani, September 2019, Percentage, 2.7
Total, Botosani, October 2019, Percentage, 2.7
Total, Botosani, November 2019, Percentage, 2.6
Total, Botosani, December 2019, Percentage, 2.6
Total, Botosani, January 2020, Percentage, 2.6
Total, Botosani, February 2020, Percentage, 2.5
Total, Botosani, March 2020, Percentage, 2.3
Total, Botosani, April 2020, Percentage, 2.3
Total, Botosani, May 2020, Percentage, 2.4
Total, Botosani, June 2020, Percentage, 2.5
Total, Botosani, July 2020, Percentage, 2.9
Total, Botosani, August 2020, Percentage, 2.9
Total, Botosani, September 2020, Percentage, 2.9
Total, Botosani, October 2020, Percentage, 2.9
Total, Botosani, November 2020, Percentage, 2.8
Total, Botosani, December 2020, Percentage, 2.9
Total, Iasi, January 2019, Percentage, 3
Total, Iasi, February 2019, Percentage, 3
Total, Iasi, March 2019, Percentage, 2.9
Total, Iasi, April 2019, Percentage, 2.9
Total, Iasi, May 2019, Percentage, 2.8
Total, Iasi, June 2019, Percentage, 2.9
Total, Iasi, July 2019, Percentage, 2.8
Total, Iasi, August 2019, Percentage, 3
Total, Iasi, September 2019, Percentage, 3
